IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.53.23,4,4,0.00,63.17,71.73,NRT
108.162.198.147,4,4,0.00,63.57,70.78,NRT
162.159.45.13,4,4,0.00,62.83,66.95,NRT
162.159.44.119,4,4,0.00,61.52,66.52,NRT
162.159.39.41,4,4,0.00,64.07,65.02,NRT
172.64.229.27,4,4,0.00,67.12,63.21,NRT
172.64.52.132,4,4,0.00,63.20,60.04,NRT
104.18.43.221,4,4,0.00,98.71,48.04,SIN
198.41.223.158,4,4,0.00,98.36,47.96,SIN
172.64.47.69,4,4,0.00,98.83,47.76,SIN
104.18.32.184,4,4,0.00,97.67,47.06,SIN
198.41.211.164,4,4,0.00,97.11,46.93,SIN
108.162.193.48,4,4,0.00,98.57,46.35,SIN
198.41.222.138,4,4,0.00,98.50,45.71,SIN
104.18.35.105,4,4,0.00,98.90,44.20,SIN
172.64.50.173,4,4,0.00,98.54,38.96,SIN
104.18.36.106,4,4,0.00,99.02,38.31,SIN
172.64.153.3,4,4,0.00,99.00,11.03,SIN
104.25.60.232,4,4,0.00,184.80,0.00,N/A
104.18.81.224,4,4,0.00,155.45,0.00,N/A
108.162.195.236,4,4,0.00,99.02,0.00,N/A
172.64.147.138,4,4,0.00,99.04,0.00,N/A
172.64.35.248,4,4,0.00,99.04,0.00,N/A
172.64.49.34,4,4,0.00,99.14,0.00,N/A
162.159.40.151,4,4,0.00,99.16,0.00,N/A
172.64.37.236,4,4,0.00,99.25,0.00,N/A
104.18.42.29,4,4,0.00,99.28,0.00,N/A
104.18.44.202,4,4,0.00,99.32,0.00,N/A
104.18.37.201,4,4,0.00,99.34,0.00,N/A
104.18.40.107,4,4,0.00,99.39,0.00,N/A
104.18.46.125,4,4,0.00,99.41,0.00,N/A
172.64.145.95,4,4,0.00,99.49,0.00,N/A
108.162.196.198,4,4,0.00,99.50,0.00,N/A
172.64.158.15,4,4,0.00,99.52,0.00,N/A
172.64.48.155,4,4,0.00,99.57,0.00,N/A
172.64.46.99,4,4,0.00,99.57,0.00,N/A
172.64.159.46,4,4,0.00,99.58,0.00,N/A
172.64.32.28,4,4,0.00,99.63,0.00,N/A
172.64.38.190,4,4,0.00,99.63,0.00,N/A
162.159.19.59,4,4,0.00,99.72,0.00,N/A
104.18.34.176,4,4,0.00,99.75,0.00,N/A
104.18.47.220,4,4,0.00,99.76,0.00,N/A
173.245.59.41,4,4,0.00,99.77,0.00,N/A
104.18.38.212,4,4,0.00,99.78,0.00,N/A
162.159.20.123,4,4,0.00,99.78,0.00,N/A
173.245.58.93,4,4,0.00,99.79,0.00,N/A
172.64.155.249,4,4,0.00,99.85,0.00,N/A
172.64.33.238,4,4,0.00,99.86,0.00,N/A
108.162.192.48,4,4,0.00,99.86,0.00,N/A
172.64.156.157,4,4,0.00,99.95,0.00,N/A
172.64.41.212,4,4,0.00,99.96,0.00,N/A
172.64.149.43,4,4,0.00,99.97,0.00,N/A
108.162.194.36,4,4,0.00,99.97,0.00,N/A
172.64.34.110,4,4,0.00,99.98,0.00,N/A
172.64.42.118,4,4,0.00,99.99,0.00,N/A
172.64.152.49,4,4,0.00,100.00,0.00,N/A
104.18.33.19,4,4,0.00,100.03,0.00,N/A
104.18.39.81,4,4,0.00,100.07,0.00,N/A
104.18.45.87,4,4,0.00,100.14,0.00,N/A
172.64.146.231,4,4,0.00,100.19,0.00,N/A
172.64.157.36,4,4,0.00,100.19,0.00,N/A
172.64.151.50,4,4,0.00,100.20,0.00,N/A
172.64.144.13,4,4,0.00,100.23,0.00,N/A
162.159.3.164,4,4,0.00,100.33,0.00,N/A
162.159.0.170,4,4,0.00,100.33,0.00,N/A
172.64.148.187,4,4,0.00,100.36,0.00,N/A
162.159.5.235,4,4,0.00,100.45,0.00,N/A
172.64.150.140,4,4,0.00,100.53,0.00,N/A
172.64.40.144,4,4,0.00,100.53,0.00,N/A
162.159.41.25,4,4,0.00,100.55,0.00,N/A
162.159.26.253,4,4,0.00,100.64,0.00,N/A
162.159.21.6,4,4,0.00,100.64,0.00,N/A
162.159.57.183,4,4,0.00,100.69,0.00,N/A
162.159.11.57,4,4,0.00,100.69,0.00,N/A
162.159.24.77,4,4,0.00,100.76,0.00,N/A
162.159.48.175,4,4,0.00,100.78,0.00,N/A
162.159.49.74,4,4,0.00,100.82,0.00,N/A
162.159.15.66,4,4,0.00,100.82,0.00,N/A
162.159.46.213,4,4,0.00,100.82,0.00,N/A
162.159.2.235,4,4,0.00,100.85,0.00,N/A
162.159.16.184,4,4,0.00,100.86,0.00,N/A
162.159.17.192,4,4,0.00,100.93,0.00,N/A
162.159.18.186,4,4,0.00,100.96,0.00,N/A
162.159.4.132,4,4,0.00,100.97,0.00,N/A
162.159.60.178,4,4,0.00,100.97,0.00,N/A
162.159.6.189,4,4,0.00,100.97,0.00,N/A
162.159.1.163,4,4,0.00,100.99,0.00,N/A
162.159.9.21,4,4,0.00,101.01,0.00,N/A
162.159.7.20,4,4,0.00,101.15,0.00,N/A
162.159.51.68,4,4,0.00,101.19,0.00,N/A
162.159.34.158,4,4,0.00,101.20,0.00,N/A
162.159.23.244,4,4,0.00,101.21,0.00,N/A
162.159.42.227,4,4,0.00,101.24,0.00,N/A
162.159.27.67,4,4,0.00,101.25,0.00,N/A
162.159.13.127,4,4,0.00,101.27,0.00,N/A
162.159.61.10,4,4,0.00,101.27,0.00,N/A
162.159.10.134,4,4,0.00,101.30,0.00,N/A
162.159.14.113,4,4,0.00,101.37,0.00,N/A
162.159.50.31,4,4,0.00,101.39,0.00,N/A
162.159.56.37,4,4,0.00,101.41,0.00,N/A
162.159.36.83,4,4,0.00,101.44,0.00,N/A
162.159.35.2,4,4,0.00,101.53,0.00,N/A
162.159.25.241,4,4,0.00,101.55,0.00,N/A
162.159.12.185,4,4,0.00,101.60,0.00,N/A
162.159.58.223,4,4,0.00,101.65,0.00,N/A
162.159.8.149,4,4,0.00,101.73,0.00,N/A
162.159.32.237,4,4,0.00,101.84,0.00,N/A
162.159.22.171,4,4,0.00,101.89,0.00,N/A
162.159.62.93,4,4,0.00,102.12,0.00,N/A
162.159.43.222,4,4,0.00,102.43,0.00,N/A
198.41.205.225,4,4,0.00,150.20,0.00,N/A
172.65.238.111,4,4,0.00,150.78,0.00,N/A
104.19.117.206,4,4,0.00,151.09,0.00,N/A
104.16.5.2,4,4,0.00,151.18,0.00,N/A
104.16.9.72,4,4,0.00,151.25,0.00,N/A
198.41.195.211,4,4,0.00,151.27,0.00,N/A
104.16.0.225,4,4,0.00,151.28,0.00,N/A
104.18.225.247,4,4,0.00,151.96,0.00,N/A
104.18.202.64,4,4,0.00,152.01,0.00,N/A
104.19.77.222,4,4,0.00,152.03,0.00,N/A
104.16.148.166,4,4,0.00,152.10,0.00,N/A
104.18.250.89,4,4,0.00,152.19,0.00,N/A
162.159.235.46,4,4,0.00,152.22,0.00,N/A
104.16.25.248,4,4,0.00,152.23,0.00,N/A
162.159.236.248,4,4,0.00,152.34,0.00,N/A
104.18.83.145,4,4,0.00,152.40,0.00,N/A
